attempt,completed,duration_s,failed,input_length_mismatches,input_throughput_tps,mean_e2e_ms,mean_itl_ms,mean_max_tbt_ms,mean_tpot_ms,mean_ttft_ms,mode,multi_token_chunks,output_length_mismatches,output_throughput_tps,p50_e2e_ms,p50_itl_ms,p50_max_tbt_ms,p50_tpot_ms,p50_ttft_ms,p90_e2e_ms,p90_itl_ms,p90_max_tbt_ms,p90_tpot_ms,p90_ttft_ms,p95_e2e_ms,p95_itl_ms,p95_max_tbt_ms,p95_tpot_ms,p95_ttft_ms,p99_e2e_ms,p99_itl_ms,p99_max_tbt_ms,p99_tpot_ms,p99_ttft_ms,request_rate_rps,request_throughput_rps,requests,run_id,scenario,seed,serial_tpot_drift_warning,serial_tpot_first_mean_ms,serial_tpot_last_mean_ms,serial_tpot_relative_drift,throughput_valid,token_timing_exact,total_throughput_tps
0,300,80.60243479099972,0,0,476.4124073865799,47088.330476279974,15.50703044341533,184.15183016332472,15.506926759338517,31224.74440147667,saturation,1,0,3811.299259092639,49448.52418749951,15.72993829716512,191.14057549995778,15.72993829716512,33280.35182800022,80546.35008709974,15.901715506549628,209.32970600042609,15.901674971945006,66119.95041799964,80556.87389085033,15.967717543401173,209.624884300365,15.967717543401173,66308.70710239948,80567.19430536027,15.973149999354444,209.96262672959347,15.973149999354444,66465.95785273948,inf,3.7219719327076555,300,20260813T114402.094359-g1-198d1004428e5dbebab7,decode_heavy,1,,,,,True,False,4287.711666479219
0,300,78.33377850700072,0,0,490.2099800607497,45834.80330405997,15.071556902743602,177.24278958338496,15.071455434118588,30416.704394956654,saturation,1,0,3921.6798404859974,48115.93035599981,15.294417788856684,186.62702949950472,15.294417788856684,32475.42660499994,78280.81006270112,15.455397525611858,188.02790800036746,15.455397525611858,64303.33852049953,78291.60477235063,15.456022208992383,188.3393881491429,15.456022208992383,64482.476630149176,78300.54929317093,15.57052994470849,188.9714481593728,15.540393763079473,64634.65391964992,inf,3.829765469224607,300,20260813T115129.405742-g1-8ddcd18ca55e0dd13f2e,decode_heavy,2,,,,,True,False,4411.889820546747
0,300,78.2162473999997,0,0,490.94659072074256,45783.45703267666,15.052296059201808,176.6795837799873,15.052194644594358,30385.061911256635,saturation,2,0,3927.5727257659405,48063.85810999927,15.28642561339138,185.7286140002543,15.28642561339138,32447.491979500228,78167.94119689893,15.451493368036093,188.0774085993835,15.451493368036093,64248.88598149919,78178.74433774978,15.455253105180294,188.48482005014375,15.455253105180294,64428.18250350038,78188.30610692943,15.562098883661907,188.67362149007022,15.531978745249218,64580.34298420082,inf,3.8355202400058013,300,20260813T115509.292101-g1-c06f210bde27f04de44d,decode_heavy,3,,,,,True,False,4418.519316486683
0,300,53.06585293399985,0,0,2894.516746787026,32237.693054269974,19.866750523152817,199.85649707333627,19.866613757358156,22085.853424259956,saturation,1,0,2894.516746787026,33686.93914749929,20.56568268590963,202.66633900064335,20.56568268590963,23103.310064499965,52950.32138530024,20.78462041526395,203.70164880096127,20.78462041526395,44677.56449450044,53000.282258199244,20.94941159706554,203.87902940083222,20.926375594126597,45477.876285250204,53034.02418480087,21.232799740802424,204.3421987788679,21.232799740802424,46066.33134682002,inf,5.65335302106841,300,20260813T115848.037661-g1-3e28f157deb13b030da7,balanced,1,,,,,True,False,5789.033493574052
0,300,53.33508340099979,0,0,2879.9054994469307,32461.947598643354,19.94945746427773,202.7301419765778,19.94890346148716,22268.057929823415,saturation,3,0,2879.9054994469307,33899.9051185001,20.6830020792567,201.81404399954772,20.6830020792567,23354.245556500246,53211.78454199908,20.834246381606874,220.35980139953608,20.834246381606874,44922.01701039958,53260.9127338993,21.0187799908014,220.66550810031913,21.0187799908014,45719.60840104857,53293.516939698966,21.280164908197914,220.9344278513163,21.280164908197914,46305.3062340894,inf,5.6248154286072864,300,20260813T120106.408898-g1-19e41dc1fbeef74aecc0,balanced,2,,,,,True,False,5759.810998893861
0,300,53.1194262099998,0,0,2891.5974994301537,32234.950620119977,19.887224715462235,199.60556929997134,19.88695275100452,22072.717764356665,saturation,1,0,2891.5974994301537,33683.95157499981,20.551099944226905,201.62177749898547,20.551099944226905,23130.076839499452,53007.89959580088,20.812739999804933,204.90680799994152,20.812413021918054,44662.33770609888,53058.10839854912,20.9104186426598,205.0252947991794,20.9104186426598,45460.251240050005,53092.38599405031,21.230946397238267,205.4447095510477,21.230946397238267,46053.420637419535,inf,5.647651366074519,300,20260813T120324.767013-g1-a3bbe173a28cd1d33807,balanced,3,,,,,True,False,5783.194998860307
0,300,40.5811954740002,0,0,7570.008631136033,26462.002802896663,58.36545179349108,212.17379691000437,58.36545179349108,19049.590425123297,saturation,0,0,946.2510788920041,27376.887124999485,63.36200442913787,213.2204545005152,63.36200442913787,19206.04501300022,40345.962375000636,64.33809854724826,216.78865539943217,64.33809854724826,35523.11683860026,40447.86347625077,64.36886515196699,217.07093824943513,64.36886515196699,37192.177332349456,40519.02616792937,66.4028329768494,217.27300206939617,66.4028329768494,38465.33432671948,inf,7.392586553843782,300,20260813T120542.151621-g1-1bb90a686975365eccd3,prefill_heavy,1,,,,,True,True,8516.259710028036
0,300,40.70712444600031,0,0,7546.590533740932,26509.672946093422,58.47302003476554,213.14046257331333,58.47135209496093,19083.81123003338,saturation,1,0,943.3238167176165,27322.934476001137,62.896433972435794,214.42586999910418,62.896433972435794,19214.621006501147,40476.47302380028,64.28561224409665,218.03887719997874,64.28561224409665,35561.32939570053,40577.4307132504,64.53766637125915,218.14604110013534,64.53766637125915,37267.06108550034,40647.20303710981,66.70527480621807,218.26181891106899,66.70527480621807,38568.11861715099,inf,7.369717318106379,300,20260813T120704.685809-g1-62a1559185992bdf09b7,prefill_heavy,2,,,,,True,False,8489.914350458548
0,300,40.54469601200071,0,0,7576.823363259961,26493.025131186743,58.30840963993276,212.08707191006397,58.30676106367458,19088.06647610007,saturation,1,0,947.1029204074952,27421.139874500113,63.43188152755815,214.98390049964655,63.43188152755815,19260.923369999546,40320.09598089953,64.30805943937159,216.26992620022065,64.30805943937159,35599.01447210032,40421.807843049915,64.47628399488082,216.51947345017106,64.47628399488082,37224.586191300026,40491.97125923962,66.57146518260848,216.60375642073632,66.57146518260848,38472.649869189954,inf,7.399241565683556,300,20260813T120828.246865-g1-d278b7dfd3963b248229,prefill_heavy,3,,,,,True,False,8523.926283667457
0,100,1094.7300388450003,0,0,11.69238035479934,10947.231798899902,10.683905300156358,13.074665649892268,10.683905300156358,17.596676839948486,serial,0,0,93.53904283839472,10935.894747499333,10.672903048874684,12.27694799854362,10.672903048874684,17.64239149997593,11052.751834999617,10.786782005180468,17.46165530057624,10.786782005180468,18.22954320068675,11111.856105249626,10.843905950293081,19.052953350001186,10.843905950293081,18.607186850749713,11139.088659440058,10.871156588406153,21.813909360735128,10.871156588406153,19.11241202034944,inf,0.09134672152186984,100,20260813T122505.420140-g1-cf93e740a731ac362dca,decode_heavy,1,False,10.640819090615842,10.816009646333741,0.0163976140555397,True,True,105.23142319319406
