frame_id,elapsed_start_seconds,sum_tbt_debt,sum_ttft_debt,selected_budget,predicted_duration_seconds,actual_duration_seconds,prediction_error_seconds,action,selected_template,current_prefill_count,current_decode_count
41,5.167653239,0.0,0.0,0,0.12553109474106053,0.125834317,0.00030322225893947286,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
42,5.293487556,0.0,0.0,0,0.12554076608885856,0.125238666,-0.000302100088858559,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
43,5.418726222,0.0,0.0,0,0.12553429223852447,0.125720941,0.000186648761475533,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
44,5.544447163,0.0,0.0,0,0.12554055425558122,0.12529481,-0.00024574425558121504,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
45,5.669741973,0.0,0.0,0,0.12553588680033245,0.125141274,-0.0003946128003324556,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
46,5.794883247,0.0,0.0,0,0.12552773824959518,0.125241562,-0.00028617624959517696,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
47,5.920124809,0.0,0.0,0,0.12552240068145823,0.12581819,0.00029578931854176704,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
48,6.045942999,0.0,0.0,0,0.12553075565407415,0.125170746,-0.0003600096540741504,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
49,6.171113745,0.0,0.0,0,0.12552404976803752,0.125106713,-0.00041733676803751285,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
50,6.2962204580000005,0.0,0.0,0,0.1255162517699198,0.125289098,-0.0002271537699198023,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
51,6.421509556,0.0,0.0,0,0.12551278979492886,0.125563708,5.0918205071137645e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
52,6.547073264,0.0,0.0,0,0.12551534931284972,0.124837465,-0.000677884312849722,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
53,6.6719107289999995,0.0,0.0,0,0.12550270287452597,0.125778333,0.000275630125474019,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
54,6.797689062,0.0,0.029942631721496582,56,0.041438477050782296,0.133595665,0.0921571879492177,MIXED,ALL_DECODE:P25:requested_56,1,2
55,6.9312847269999995,0.0,0.0,170,0.0721119697904205,0.144657941,0.07254597120957951,MIXED,ALL_DECODE:MAX:requested_170,1,2
56,7.075942668,0.0,0.0,0,0.12583726443039658,0.126211839,0.0003745745696034086,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
57,7.2021545069999995,0.0,0.0,0,0.12584697014843796,0.126187007,0.0003400368515620311,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
58,7.328341514,0.0,0.0,0,0.12585585176492872,0.126713968,0.0008581162350712879,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
59,7.455055482,0.0,0.0,0,0.12587456822741214,0.125931214,5.664577258787662e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
60,7.580986696,0.0,0.0,0,0.12587785124312326,0.12525809,-0.000619761243123268,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
61,7.706244786,0.0,0.0,0,0.1258685884098158,0.12550286,-0.000365728409815802,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
62,7.831747646,0.0,0.0,0,0.12586415302956785,0.125366426,-0.0004977270295678515,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
63,7.957114072,0.0,0.0,0,0.1258574792743836,0.125773836,-8.364327438359354e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
64,8.082887908,0.0,0.0,0,0.12585822607548425,0.125716636,-0.00014159007548425473,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
65,8.208604544,0.0,0.0,0,0.12585799909377327,0.125356795,-0.000501204093773272,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
66,8.333961339,0.0,0.0,0,0.12585171833692196,0.125583323,-0.00026839533692196715,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
67,8.459544662,0.0,0.0,0,0.12584945930869176,0.125791355,-5.810430869176986e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
68,8.585336017000001,0.0,0.0,0,0.12585072100685665,0.125379355,-0.000471366006856655,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
69,8.710715372000001,0.0,0.0,0,0.1258453325572302,0.125580795,-0.00026453755723021555,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
70,8.836296167,0.0,0.0,0,0.12584334777549408,0.125286394,-0.0005569537754940845,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
71,8.961582561,0.0,0.0,0,0.12583685959956029,0.125588043,-0.00024881659956027535,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
72,9.087170604,0.0,0.0,0,0.12583524587926295,0.125364442,-0.00047080387926295986,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
73,9.212535046000001,0.0,0.0,0,0.1258303267144764,0.125520267,-0.00031005971447639613,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
74,9.338055313000002,0.0,0.0,0,0.1258279131847654,0.126777521,0.0009496078152345933,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
75,9.464832834000001,0.0,0.0,0,0.1258440922325843,0.125267113,-0.0005769792325842904,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
76,9.590099947,0.0,0.0,0,0.12583794444160776,0.126473552,0.0006356075583922316,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
77,9.716573499,0.0,0.0,0,0.12584923877714307,0.126060078,0.0002108392228569178,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
78,9.842633577,0.0,0.0,0,0.12585442257140506,0.126107069,0.0002526464285949326,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
79,9.968740646,0.0,0.0,0,0.12586014577631902,0.125822316,-3.7829776319026065e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,3
80,10.094562962000001,0.0,0.039763569831848145,221,0.08764942761183359,0.155151462,0.0675020343881664,MIXED,ALL_DECODE:P25:requested_221,1,3
81,10.249714424,0.0,0.0,666,0.21676292712516693,0.265981083,0.04921815587483308,MIXED,ALL_DECODE:MAX:requested_666,1,3
82,10.515695507,0.19177299574948847,0.0,0,0.1266786463032148,0.128355336,0.001676689696785194,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
83,10.644050843,0.0,0.0,0,0.12670425657540843,0.126747953,4.3696424591566085e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
84,10.770798796000001,0.0,0.0,0,0.1267077914966831,0.126386606,-0.00032118549668308516,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
85,10.897185402000002,0.0,0.0,0,0.12670651767416133,0.127258643,0.000552125325838676,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
86,11.024444045000001,0.0,0.0,0,0.12671664043569475,0.126596511,-0.00012012943569475465,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
87,11.151040556000002,0.0,0.0,0,0.12671805261833582,0.12581774,-0.0009003126183358134,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
88,11.276858296000002,0.0,0.0,0,0.12670960855961122,0.126115901,-0.0005937075596112174,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
89,11.402974197000002,0.0,0.0,0,0.12670513951793178,0.126641744,-6.339551793177467e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
90,11.529615941000003,0.0,0.0,0,0.1267073091600691,0.126111821,-0.0005954881600690742,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
91,11.655727762000003,0.0,0.0,0,0.12670299941206092,0.125989949,-0.0007130504120609338,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
92,11.781717711000002,0.0,0.0,0,0.1266973607466815,0.12589534,-0.0008020207466815088,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
93,11.907613051000002,0.0,0.0,0,0.12669076518356037,0.125528058,-0.0011627071835603742,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
94,12.033141109000002,0.0,0.0,0,0.12668003857891857,0.125417931,-0.0012621075789185643,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
95,12.158559040000002,0.0,0.0,0,0.12666831521242147,0.126045261,-0.0006230542124214811,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,4
