frame_id,plan_id,template_id,batch_kind,prediction_mode,in_support,calibration_source_replayed,calibration_sample_count_before,total_prefill_tokens,total_decode_tokens,total_scheduled_tokens,expected_duration_seconds,conservative_duration_seconds,effective_duration_seconds,actual_duration_seconds,expected_error_seconds_prediction_minus_actual,conservative_error_seconds_prediction_minus_actual,effective_error_seconds_prediction_minus_actual,expected_absolute_error_seconds,conservative_absolute_error_seconds,effective_absolute_error_seconds,conservative_covers_actual,timing_source,selector_reason,controller_reason
14,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,11,0,2,2,0.12748917832210951,0.13021399914229312,0.12748917832210951,0.128737603,-0.0012484246778904917,0.0014763961422931127,-0.0012484246778904917,0.0012484246778904917,0.0014763961422931127,0.0012484246778904917,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
15,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,12,0,2,2,0.12749065447359098,0.13021547529377459,0.12749065447359098,0.126890269,0.0006003854735909808,0.003325206293774585,0.0006003854735909808,0.0006003854735909808,0.003325206293774585,0.0006003854735909808,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
16,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,13,0,2,2,0.12749213062507242,0.13021695144525602,0.12749213062507242,0.125616168,0.0018759626250724193,0.004600783445256024,0.0018759626250724193,0.0018759626250724193,0.004600783445256024,0.0018759626250724193,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
17,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,14,0,2,2,0.12749360677655389,0.1302184275967375,0.12749360677655389,0.1256882,0.0018054067765538862,0.0045302275967374905,0.0018054067765538862,0.0018054067765538862,0.0045302275967374905,0.0018054067765538862,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
18,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,15,0,2,2,0.12749508292803532,0.13021990374821893,0.12749508292803532,0.125950185,0.0015448979280353325,0.004269718748218937,0.0015448979280353325,0.0015448979280353325,0.004269718748218937,0.0015448979280353325,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
19,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,16,0,2,2,0.12749655907951676,0.13022137989970037,0.12749655907951676,0.124614724,0.0028818350795167674,0.005606655899700372,0.0028818350795167674,0.0028818350795167674,0.005606655899700372,0.0028818350795167674,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
20,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,17,0,2,2,0.12749803523099823,0.13022285605118183,0.12749803523099823,0.125707337,0.0017906982309982278,0.004515519051181832,0.0017906982309982278,0.0017906982309982278,0.004515519051181832,0.0017906982309982278,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
21,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,18,0,2,2,0.1274995113824797,0.1302243322026633,0.1274995113824797,0.125549,0.0019505113824797027,0.004675332202663307,0.0019505113824797027,0.0019505113824797027,0.004675332202663307,0.0019505113824797027,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
22,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,19,0,2,2,0.12750098753396114,0.13022580835414474,0.12750098753396114,0.125310503,0.0021904845339611456,0.00491530535414475,0.0021904845339611456,0.0021904845339611456,0.00491530535414475,0.0021904845339611456,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
23,plan-STOCK,STOCK,decode_only,INTERPOLATION,True,offline_oof_cold_start,20,0,2,2,0.12750246368544257,0.13022728450562618,0.12750246368544257,0.125914842,0.001587621685442575,0.0043124425056261795,0.001587621685442575,0.001587621685442575,0.0043124425056261795,0.001587621685442575,True,vllm_aligned_monotonic,TWO_STAGE_TBT_PREFILL_SERVICE_RATE,TWO_STAGE_TBT_PREFILL_SERVICE_RATE
